,Year,co2,population,gdp_growth,lpi
0,1970,14898157000.0,3695390208,3.981529827522553,100.0
1,1971,15502787000.0,3770163200,3.116490324094197,99.100274
2,1972,16223440000.0,3844800768,3.1647526489816644,97.929883
3,1973,17083500000.0,3920251392,2.977395889553796,96.78284
4,1974,17009382000.0,3995516928,3.1572401655306725,95.34543
5,1975,17049979000.0,4069437184,1.693889623695054,93.5558
6,1976,17985243000.0,4142505728,3.785168622854362,91.48922
7,1977,18494652000.0,4215772416,2.8546315410325676,88.535243
8,1978,19063955000.0,4289657600,2.7393677072524105,85.68405
9,1979,19603001000.0,4365582848,2.67111782527137,83.34747999999999
10,1980,19482442000.0,4444007936,2.0736214091803635,81.508094
11,1981,19016950000.0,4524627456,1.9982321378723102,79.83687499999999
12,1982,18865373000.0,4607984640,1.0186610749251355,77.281386
13,1983,18985900000.0,4691884032,1.0168450789962753,74.518186
14,1984,19641730000.0,4775836160,2.3393305032923353,71.832025
15,1985,20305132000.0,4861730816,2.227888804109747,69.753116
16,1986,20607515000.0,4950063104,2.6516714952206986,68.125665
17,1987,21245784000.0,5040984576,2.831332108453716,66.32249
18,1988,22077385000.0,5132294144,3.4738959543675447,64.5467
19,1989,22378970000.0,5223704064,2.358167835671797,63.574344
20,1990,22752700000.0,5316175872,2.6568826149111495,62.68112
21,1991,23229475000.0,5406245888,1.1646642778718956,61.60914
22,1992,22567199000.0,5492686336,1.365651979583896,60.11985
23,1993,22798350000.0,5577433600,1.6547193061805459,58.109295
24,1994,23034776000.0,5660727808,1.8778025238645377,56.2009
25,1995,23524491000.0,5743219712,3.3040051884056196,54.0361
26,1996,24250161000.0,5825145344,4.269228268622753,53.04214
27,1997,24395952000.0,5906481152,4.415089278454255,51.750076
28,1998,24330945000.0,5987312640,3.161031255859766,50.466454000000006
29,1999,24833495000.0,6067758592,2.932982757157046,48.66438
30,2000,25501286000.0,6148898816,3.9042293029846853,47.221538
31,2001,25674930000.0,6230747136,3.0581237462851205,45.67137
32,2002,26248288000.0,6312407552,3.084690468240734,44.498393
33,2003,27648650000.0,6393898496,3.7099500486949997,43.515655
34,2004,28620194000.0,6475751424,5.610931649843691,42.92783
35,2005,29592103000.0,6558176256,4.751548448762707,42.203152
36,2006,30605767000.0,6641416192,5.413091096612779,41.295153
37,2007,31499735000.0,6725948416,5.399762608468661,40.142804
38,2008,32041902000.0,6811597312,3.7845272525936466,38.719392
39,2009,31493265000.0,6898306048,0.06474653389413916,36.877126
40,2010,33306330000.0,6985603072,4.258914683601949,35.15315
41,2011,34436470000.0,7073125376,3.4819063855456633,33.44104
42,2012,34935450000.0,7161697792,3.047989202226137,32.37109
43,2013,35232470000.0,7250593280,2.981779030386248,31.738263
44,2014,35466195000.0,7339013632,3.186935326828229,31.66902
45,2015,35463213000.0,7426597376,2.596288472773206,31.627533000000003
46,2016,35460026000.0,7513474048,2.949288572245595,31.14541
47,2017,36025455000.0,7599822336,3.0967992639917385,30.88527
48,2018,36766945000.0,7683789824,2.9802062397768143,30.897567
